2016-11-08 13:00:42,Let’s go make some history today.  ,28534,13954
2016-11-08 12:01:49,It's Election Day! Millions of Americans have cast their votes for Hillary—join them and confirm where you vote: ,7507,2744
2016-11-08 11:47:18,Don't stand still. Vote today:  #ElectionDay #MannequinChallenge ,96057,55710
2016-11-08 11:01:21,It’s Election Day and polls are officially open. When will you vote today? Confirm where to go here:… ,6950,3210
2016-11-08 06:13:13,"In America, we build bridges, not walls.
Let’s go out and prove that love trumps hate.
 ",10268,4881
2016-11-08 06:08:56,"""If you believe we should never write discrimination into our laws...you’ve got to vote!” —Hillary ",4462,1653
2016-11-08 06:08:06,"""If you believe in science and that we have to act on climate change, then you have to vote!"" —Hillary ",3382,1405
2016-11-08 06:04:26,"""It’s not just my name or Donald Trump’s name on the ballot—it’s the kind of country we want.” —Hillary ",3368,1143
2016-11-08 06:01:25,"“You can vote for a hopeful, inclusive, big-hearted vision for America.” —Hillary  ",2618,1072
2016-11-08 05:58:27,"“I believe that she will win!
I believe that she will win!” ",7731,4079
2016-11-08 05:47:23,"""I am so excited that I finally get to vote for my mom in a few hours.” —@ChelseaClinton ",3388,1024
2016-11-08 05:13:57,"Join Hillary for her last rally of the campaign in Raleigh, North Carolina: ",5618,1344
2016-11-08 04:52:23,Stronger together. ,54787,18982
2016-11-08 04:08:46,"""If you believe that racism and sexism and bigotry have no place in our country...you need to vote."" ",10461,4377
2016-11-08 03:09:50,"27 million Latinos are eligible to vote this year.

Millions have already voted.

Ready to join them?… ",14676,5336
2016-11-08 02:32:03,“Let’s make history!” —Hillary ,20309,9353
2016-11-08 02:28:38,"“We need your help, knocking on doors and making phone calls, helping to turn people out.” —Hillary ",3977,1395
2016-11-08 02:27:21,"""I am not going to let anybody rip up the progress that we’ve made.” —Hillary ",4716,2019
2016-11-08 02:24:19,"""Tomorrow, we face the test of our time. What will we vote for?” —Hillary  ",2909,1075
2016-11-08 02:20:51,"""We don’t want to shrink the vision of this country. We want to keep expanding it.” —Hillary",2923,1140
2016-11-08 02:17:56,"""I believe with all my heart that our best days are still ahead of us, if we reach for them together.” —Hillary in Philly",3403,1392
2016-11-08 02:11:52,"""I am betting that tomorrow, you will reject fear, and you'll choose hope.” —@POTUS",4493,1986
